Tabular Random Search,BBO,TRS Error Bar,BBO Error Bar
-0.432219,0.282103,0.0956453,0.0425413
-0.324641,0.21824,0.0678063,0.0509122
-0.447628,0.306999,0.0922701,0.0391955
-0.327835,0.222334,0.0765898,0.059266
-0.393841,0.180361,0.0795266,0.0634035
-0.335404,0.307352,0.0543943,0.0458245
-0.522038,0.312639,0.111514,0.0475996
-0.332451,0.336284,0.0543432,0.0362043
-0.484458,0.182309,0.0897388,0.0654079
-0.327905,0.415284,0.0881324,0.0525557
-0.389972,0.434095,0.079497,0.0519052
-0.317555,0.327257,0.0749027,0.0615677
-0.30339,0.34327,0.0743029,0.0497322
-0.423116,0.286187,0.0866256,0.0652169
-0.290276,0.248842,0.0775978,0.0597361
-0.36884,0.281606,0.0751844,0.0568366
-0.455182,0.351637,0.0955849,0.0497719
-0.345062,0.337069,0.0812158,0.0551487
-0.364698,0.326656,0.0764284,0.0563994
-0.232659,0.341707,0.0522159,0.0371224
-0.230851,0.343652,0.0514473,0.0434658
-0.219352,0.328474,0.0492063,0.050571
-0.318738,0.337099,0.0700769,0.0397273
-0.282243,0.319573,0.0579478,0.042336
-0.203015,0.306181,0.0364818,0.0484
-0.380054,0.30119,0.0817374,0.0624719
-0.273517,0.391502,0.0566326,0.0430632
-0.254324,0.256853,0.055678,0.0588075
-0.320647,0.271351,0.0662685,0.052205
-0.296062,0.409656,0.0619428,0.0585494
-0.371906,0.476211,0.0869971,0.0514974
-0.313983,0.469287,0.0724801,0.0433716
-0.329602,0.382158,0.0724641,0.0460182
-0.269471,0.342355,0.0573942,0.0613698
-0.431776,0.356842,0.0875243,0.0571909
-0.276686,0.361205,0.0642973,0.048406
-0.35224,0.424458,0.060484,0.03487
-0.350189,0.329818,0.0684112,0.05674
-0.369599,0.371696,0.0814596,0.0463517
-0.465129,0.37303,0.102093,0.0478846
-0.482557,0.420567,0.112567,0.0475864
-0.388175,0.265972,0.0784691,0.0628443
-0.363222,0.405683,0.0670208,0.0372315
-0.423199,0.364319,0.0843582,0.0427768
-0.423142,0.395413,0.0848598,0.037171
-0.322473,0.36013,0.0694338,0.0577203
-0.642643,0.409735,0.117634,0.0409214
-0.375803,0.452037,0.081466,0.0430733
-0.324142,0.325688,0.0738443,0.0587628
-0.39986,0.475596,0.0684139,0.0488492
-0.354293,0.47139,0.0756603,0.0545428
-0.36162,0.517831,0.0745774,0.0413033
-0.353886,0.519589,0.0779867,0.0408499
-0.397423,0.439148,0.0856642,0.0527334
-0.36246,0.539177,0.0780559,0.0393891
-0.376161,0.339709,0.0845047,0.0731636
-0.272981,0.392246,0.0564792,0.0500402
-0.409213,0.394489,0.0875184,0.0516096
-0.478224,0.488215,0.100197,0.0481901
-0.312274,0.359022,0.0687837,0.0525075
-0.327108,0.446983,0.0623927,0.0486837
-0.344602,0.440412,0.0675132,0.0374246
-0.465092,0.360717,0.0955902,0.0514103
-0.312494,0.410238,0.076321,0.0428522
-0.32509,0.340016,0.0757716,0.0514053
-0.436181,0.393511,0.0889768,0.0604273
-0.423405,0.394698,0.0738978,0.0532559
-0.462511,0.412907,0.0899256,0.0426948
-0.418328,0.367184,0.0918282,0.0528436
-0.342996,0.479976,0.0828924,0.0796674
-0.517441,0.536174,0.118263,0.0480692
-0.32061,0.436897,0.0826924,0.0612837
-0.267801,0.55462,0.0723525,0.0396675
-0.403444,0.389367,0.0807709,0.0590196
-0.310955,0.370217,0.07023,0.0724546
-0.406224,0.465077,0.0876065,0.0439332
-0.297968,0.474799,0.076299,0.0478925
-0.27852,0.487439,0.0523987,0.0449948
-0.383336,0.501428,0.0845221,0.0523075
-0.445553,0.540869,0.0962766,0.0488
-0.32791,0.44715,0.0741407,0.0527021
-0.418884,0.359223,0.091014,0.0558042
-0.394478,0.417047,0.0865142,0.0525427
-0.45036,0.441059,0.0840385,0.0475999
-0.489233,0.389489,0.106817,0.042803
-0.369235,0.480082,0.0808082,0.0550648
-0.450509,0.477993,0.0937104,0.0430477
-0.298221,0.324589,0.0703922,0.0565705
-0.355358,0.370757,0.0845359,0.0767752
-0.407492,0.605454,0.0929263,0.0447663
-0.297777,0.641916,0.05964,0.0540772
-0.326249,0.495719,0.0715605,0.0537481
-0.297382,0.535468,0.064665,0.0425938
-0.359258,0.462963,0.0693682,0.0544699
-0.405417,0.534546,0.0708012,0.0560767
-0.324814,0.521638,0.0707701,0.0517293
-0.344592,0.429298,0.0778701,0.0640517
-0.426833,0.540304,0.0862847,0.0618053
-0.474647,0.540317,0.112073,0.0515559
-0.28524,0.428029,0.0771408,0.0554981
-0.456447,0.475677,0.101722,0.0543499
-0.407683,0.548882,0.0890351,0.0395496
-0.43538,0.473661,0.0931555,0.0435364
-0.465135,0.45652,0.10478,0.0532553
-0.547614,0.439875,0.11508,0.0610186
-0.405311,0.518868,0.0883014,0.0617838
-0.376417,0.466447,0.0892376,0.0513629
-0.454316,0.560993,0.0997994,0.0483684
-0.397121,0.47752,0.108355,0.0669935
-0.289895,0.575445,0.0648007,0.06403
-0.276329,0.642919,0.0518477,0.0503662
-0.380498,0.638507,0.0850236,0.0421737
-0.296533,0.550017,0.0768704,0.0570404
-0.379822,0.577044,0.0838072,0.0460977
-0.188119,0.598118,0.0457022,0.0486688
-0.338357,0.606239,0.0833419,0.0427774
-0.2603,0.611917,0.0607517,0.0404531
-0.505389,0.64273,0.104226,0.0399039
-0.326265,0.587819,0.0620817,0.0605093
-0.331918,0.551726,0.0677457,0.0491541
-0.344919,0.512743,0.0798493,0.0456478
-0.340176,0.444869,0.0803877,0.0588257
-0.331705,0.527967,0.0853633,0.0628638
-0.339099,0.469853,0.0621846,0.0564114
-0.207998,0.457239,0.0439783,0.0466248
-0.417411,0.612718,0.0883079,0.0481859
-0.302805,0.499285,0.072792,0.0823616
-0.339313,0.504032,0.0696798,0.0543372
-0.228383,0.472288,0.05572,0.063161
-0.394273,0.684296,0.0779979,0.046029
-0.283544,0.667928,0.0604377,0.0572431
-0.46651,0.692032,0.0974184,0.0412646
-0.371262,0.573182,0.0640465,0.0713539
-0.367257,0.599117,0.0763385,0.0427648
-0.392709,0.553544,0.0826248,0.0513783
-0.321165,0.630549,0.0729943,0.0414217
-0.373241,0.560499,0.0780469,0.0595333
-0.425681,0.528176,0.0983653,0.0476011
-0.273021,0.564646,0.0639545,0.0520495
-0.354507,0.596652,0.0828709,0.0379216
-0.258683,0.534175,0.0546335,0.0510714
-0.288926,0.539152,0.066192,0.0499295
-0.420333,0.502167,0.0883001,0.0579851
-0.219541,0.500871,0.0456062,0.0600092
-0.274306,0.501809,0.0640851,0.0631062
-0.426138,0.497902,0.0811778,0.0595864
-0.321172,0.518523,0.0633277,0.05394
-0.28866,0.513596,0.0725946,0.0728381
-0.281493,0.552483,0.0577555,0.0690473
-0.459295,0.701938,0.101814,0.0525788
-0.402427,0.677433,0.090776,0.0515154
-0.294542,0.742526,0.0588612,0.0500539
-0.404277,0.688278,0.0890587,0.0525431
-0.449818,0.665128,0.0926683,0.0435171
-0.436805,0.600432,0.0962164,0.053697
-0.329835,0.694174,0.0784641,0.0455993
-0.349893,0.55366,0.0761757,0.0603611
-0.422994,0.632178,0.0844069,0.0606126
-0.371753,0.643044,0.0833904,0.0479878
-0.400275,0.610417,0.0894806,0.0558697
-0.435699,0.620072,0.0918011,0.044678
-0.541045,0.661259,0.115179,0.0483889
-0.330573,0.502726,0.0882254,0.0716894
-0.372179,0.469774,0.0886542,0.0615396
-0.277111,0.570066,0.0596893,0.0555806
-0.344699,0.512292,0.0939833,0.0603074
-0.32171,0.577357,0.0738612,0.0592204
-0.336089,0.593214,0.0786011,0.057388
-0.415056,0.489621,0.0948043,0.0695837
-0.387672,0.751902,0.0811392,0.0438068
-0.240026,0.515955,0.0681434,0.0774896
-0.444015,0.727345,0.0969666,0.0584413
-0.396802,0.60789,0.074713,0.0547097
-0.424112,0.653766,0.0995826,0.0676286
-0.383179,0.644718,0.0917302,0.0590773
-0.399499,0.690676,0.0826077,0.0537134
-0.359361,0.640315,0.0720804,0.0525508
-0.469266,0.58799,0.0851192,0.0562224
-0.26467,0.558906,0.0598999,0.0792563
-0.35914,0.618648,0.0708091,0.0708781
-0.281725,0.59718,0.0689053,0.0661509
-0.36167,0.531756,0.084062,0.0540767
-0.235684,0.54017,0.0543477,0.0536478
-0.284518,0.552318,0.0699471,0.0563084
-0.338906,0.581078,0.0726911,0.0474147
-0.294282,0.638512,0.0650616,0.06034
-0.385309,0.513835,0.0723467,0.0717048
-0.287836,0.551187,0.0663704,0.080612
-0.222251,0.573505,0.0471724,0.0555631
-0.298767,0.713819,0.0739476,0.0562528
-0.248811,0.830114,0.0673167,0.0511863
-0.261515,0.672715,0.0621276,0.0719612
-0.25278,0.696759,0.0588753,0.062236
-0.312701,0.779324,0.0621169,0.0505624
-0.444556,0.803125,0.0827749,0.0449183
-0.421067,0.68866,0.0846644,0.0552582
-0.294357,0.632426,0.0705953,0.0625129
-0.287179,0.744425,0.0643041,0.0460118
-0.358237,0.716737,0.0716995,0.0578704
-0.262464,0.639989,0.0515235,0.0603478
-0.390195,0.6009,0.0889993,0.0702584
-0.301191,0.707799,0.072567,0.0397546
-0.263869,0.717865,0.061673,0.0523186
-0.431425,0.568487,0.0915649,0.059428
-0.347959,0.674936,0.0764495,0.0562082
-0.428023,0.742765,0.0910782,0.0466169
-0.263924,0.705959,0.0573493,0.060767
-0.304256,0.68631,0.0708489,0.0455442
-0.216448,0.651002,0.0514317,0.0633073
-0.390534,0.801919,0.0893371,0.0604982
-0.445056,0.739364,0.0997783,0.0772566
-0.288824,0.7068,0.0818961,0.0539368
-0.165416,0.838383,0.0433271,0.0498289
-0.259551,0.814696,0.073209,0.0478808
-0.196703,0.780226,0.047739,0.0532374
-0.321278,0.687815,0.0725443,0.0619328
-0.234327,0.828103,0.0608955,0.0487224
-0.211185,0.745922,0.05674,0.0554955
-0.221456,0.611404,0.049884,0.0710082
-0.391517,0.74601,0.0769388,0.054585
-0.399944,0.743576,0.0793744,0.0499965
-0.484575,0.704339,0.0996806,0.0651414
-0.468237,0.653634,0.096096,0.045635
-0.459821,0.682584,0.0989877,0.0504378
-0.348376,0.622108,0.0784657,0.0623737
-0.475547,0.703311,0.0927725,0.0573206
-0.473268,0.728529,0.0967649,0.0519063
-0.419242,0.682911,0.0858829,0.0537543
-0.361899,0.674364,0.079785,0.0478063
-0.472942,0.828101,0.103316,0.0522491
-0.399327,0.817765,0.0837786,0.0588678
-0.464216,0.786089,0.0939117,0.0508122
-0.364822,0.85028,0.0721614,0.0538215
-0.307053,0.755121,0.0618737,0.0536401
-0.413469,0.783898,0.0836724,0.0592771
-0.375376,0.765673,0.0819947,0.0577521
-0.318081,0.749546,0.0635547,0.0569218
-0.369202,0.777938,0.0823572,0.0589024
-0.295984,0.749758,0.0583891,0.0609243
-0.38407,0.830973,0.083979,0.04963
-0.404127,0.750241,0.0839265,0.0697228
-0.45164,0.671829,0.0786231,0.0673078
-0.291853,0.651642,0.0695422,0.0605593
-0.352993,0.678246,0.0781064,0.0544918
-0.305244,0.645631,0.0701023,0.0557336
-0.351528,0.699614,0.0796452,0.0621679
-0.34614,0.697977,0.0692992,0.0772856
-0.301759,0.781882,0.0758417,0.0525236
-0.236808,0.773755,0.058803,0.0553893
-0.510917,0.955045,0.109641,0.05368
-0.43923,0.866595,0.0897145,0.0679013
-0.45145,0.815517,0.0995651,0.057867
-0.26956,0.867598,0.0660775,0.0495829
-0.410878,0.806235,0.097126,0.0604929
-0.370746,0.792173,0.0997039,0.0742994
-0.34181,0.910639,0.0744821,0.0425917
-0.309775,0.755999,0.0650559,0.0545463
-0.352643,0.819695,0.0788404,0.050963
-0.342087,0.812504,0.0704609,0.069962
-0.364488,0.795057,0.0777471,0.0510178
-0.471338,0.69713,0.0867166,0.0623306
-0.353656,0.746134,0.082677,0.069863
-0.435345,0.773527,0.0977537,0.0501805
-0.559429,0.645898,0.114972,0.0622609
-0.405938,0.583792,0.0964804,0.0734365
-0.418031,0.783222,0.0899662,0.0664897
-0.504357,0.699267,0.105885,0.0785816
-0.486257,0.675572,0.0903223,0.0690008
-0.403167,0.686213,0.0878515,0.0738853
-0.339314,0.994866,0.077273,0.050525
-0.40796,0.936077,0.093499,0.0596667
-0.506312,0.823792,0.110245,0.0604719
-0.435847,0.964904,0.0977154,0.053342
-0.263444,0.821246,0.0708053,0.0649321
-0.246627,0.803965,0.057979,0.0584018
-0.327057,0.870581,0.0625059,0.0469839
-0.319888,0.874973,0.0718285,0.0462858
-0.592963,0.897774,0.103261,0.0510008
-0.328161,0.875759,0.0652294,0.0610443
-0.25,0.715828,0.0533618,0.0680534
-0.382827,0.80493,0.090124,0.0588148
-0.350545,0.711517,0.0832483,0.0787086
-0.514749,0.851005,0.105569,0.0460548
-0.387791,0.692178,0.0952399,0.0604895
-0.285821,0.724706,0.0553535,0.0520028
-0.439081,0.846695,0.0916212,0.0683278
-0.514945,0.827256,0.110942,0.052799
-0.304979,0.783784,0.0761204,0.0539528
-0.27136,0.862227,0.0810923,0.056532
-0.419277,0.930863,0.0800044,0.0532255
-0.528196,0.889907,0.0993915,0.0681176
-0.460788,0.86197,0.089954,0.055957
-0.438216,0.918465,0.0903776,0.0580149
-0.49965,0.831137,0.0879297,0.0674053
-0.432004,0.994314,0.0860741,0.0542444
-0.461246,0.842228,0.0891277,0.0615548
-0.530961,0.839949,0.100804,0.0586804
-0.376271,0.849455,0.0892169,0.0512799
-0.421972,0.892781,0.0902339,0.0592457
-0.305111,0.77693,0.0641851,0.0589178
-0.246864,0.824431,0.0665574,0.0543208
-0.311662,0.841299,0.0744815,0.0447812
-0.215897,0.850431,0.0484602,0.0559227
-0.210393,0.733951,0.054356,0.0575393
-0.346413,0.706741,0.0859292,0.0679709
-0.309161,0.918707,0.0708556,0.0618948
-0.23917,0.805181,0.0546871,0.0720676
-0.256998,0.883603,0.0609189,0.0513474
-0.23285,0.759112,0.0494672,0.0695974
-0.396808,1.01287,0.086391,0.0620657
-0.25526,0.902469,0.060333,0.071882
-0.392375,0.96632,0.0751718,0.063798
-0.336248,0.885331,0.0764207,0.0616956
-0.264672,0.899381,0.0781928,0.0707946
-0.342114,0.909885,0.0773957,0.0602399
-0.446437,0.939029,0.0924295,0.0634616
-0.340744,0.773694,0.0796338,0.0736378
-0.273514,0.945515,0.069486,0.0556452
-0.281089,0.827668,0.0616333,0.0683591
-0.449253,0.811329,0.105446,0.0622921
-0.39792,0.90599,0.0898359,0.0531074
-0.341811,0.867396,0.0750519,0.0555261
-0.329653,0.886291,0.0706577,0.0582104
-0.349223,0.783992,0.0833568,0.0661116
-0.411595,0.83368,0.0914988,0.0512217
-0.406227,0.88466,0.100337,0.0605543
-0.309455,0.913003,0.0832679,0.0600841
-0.403206,0.790601,0.0835547,0.067938
-0.434911,0.825074,0.100874,0.0634932
-0.388118,1.01491,0.071705,0.0650123
-0.336467,1.05151,0.0668623,0.0566132
-0.445317,0.997345,0.0950792,0.0538839
-0.365812,0.945748,0.0772239,0.0701393
-0.481767,1.04131,0.100364,0.0575235
