REINFORCE,BBO,TRS Error Bar,BBO Error Bar
1.40213,0.0144458,0.0462982,0.0403439
1.42622,-0.0346904,0.044842,0.0466949
1.42087,-0.0400427,0.0455156,0.0535406
1.41468,-0.0476412,0.0432068,0.0554339
1.42145,-0.108475,0.0433013,0.0554076
1.43079,-0.00697497,0.0442443,0.0384154
1.39301,0.00983923,0.048705,0.0515323
1.41447,-0.0507036,0.0433639,0.0441295
1.43506,0.0189565,0.0454014,0.0396563
1.46973,0.00447689,0.0458624,0.0636358
1.4527,-0.0794462,0.0445177,0.0763971
1.37996,0.0453228,0.042655,0.0436194
1.47834,-0.0156748,0.0466469,0.0563612
1.38761,-0.0700651,0.0435211,0.0587409
1.47827,0.0213224,0.0444145,0.0409811
1.43248,-0.102096,0.0438627,0.0637231
1.47578,-0.00819782,0.0456681,0.0529505
1.49705,0.00496158,0.0457524,0.0458755
1.45755,-0.0425731,0.0442748,0.0515988
1.49951,0.022041,0.0439688,0.0491184
1.42949,-0.0108933,0.0435411,0.0692544
1.44509,0.0229639,0.0466633,0.0455337
1.49531,-0.105632,0.0479731,0.0686983
1.39417,-0.0131204,0.0484746,0.0501943
1.60088,0.0619361,0.0452369,0.0336104
1.4997,-0.0143882,0.0432951,0.0457963
1.53105,0.0429749,0.0467338,0.0388731
1.54395,-0.0877422,0.0440821,0.0542109
1.4965,0.0365365,0.049893,0.0407182
1.49042,0.0184043,0.0448222,0.0438058
1.4951,-0.00782608,0.0445761,0.0435132
1.52635,0.0874653,0.0457835,0.0372253
1.46651,-0.0222857,0.0462942,0.0628295
1.57811,0.0649574,0.0448623,0.042323
1.56806,0.0221573,0.0447685,0.0480049
1.50297,-0.116666,0.0476524,0.0765237
1.52767,0.044556,0.0450197,0.0418358
1.50013,0.0329079,0.0471983,0.0472958
1.54631,-0.0285861,0.0453738,0.0603795
1.56067,0.0455441,0.0454572,0.0369817
1.52591,-0.0807825,0.0458544,0.0609777
1.55893,0.0342704,0.0461438,0.051674
1.63291,0.00531273,0.0456044,0.0413592
1.57752,0.0508319,0.0460336,0.039498
1.58834,-0.0266062,0.0455859,0.0498352
1.62478,-0.0250596,0.0452419,0.0499071
1.56479,0.0345054,0.0440165,0.0413609
1.64687,-0.0478559,0.0464511,0.0667299
1.65353,-0.0128503,0.0458687,0.038719
1.60961,0.0123604,0.0455066,0.0552923
1.6487,0.0705614,0.0459604,0.0448741
1.58966,-0.00335693,0.0486391,0.0519438
1.56747,0.0604281,0.0444008,0.0491877
1.65236,0.0644245,0.044659,0.0513928
1.67767,0.00745902,0.0454557,0.0468482
1.63119,0.0286625,0.0460975,0.0664072
1.62995,0.114747,0.0482559,0.0343924
1.64485,0.0680882,0.0465519,0.0436688
1.64432,0.0440578,0.0484679,0.053222
1.65678,-0.0332187,0.0468242,0.0667001
1.63015,0.0842478,0.0472938,0.0392958
1.62516,0.0751603,0.0474748,0.0457692
1.59695,0.0664641,0.0463717,0.0417903
1.61036,0.113887,0.0465348,0.0429629
1.72249,0.0176772,0.0454577,0.0545472
1.71052,0.0558821,0.0466193,0.0529618
1.72321,0.0742194,0.0460161,0.0497739
1.66701,0.0674025,0.0458847,0.0417519
1.6535,0.0457657,0.0480964,0.0581606
1.71678,-0.0431717,0.0473969,0.0610113
1.73217,-0.00754521,0.0472485,0.0512371
1.63984,0.0580786,0.0495373,0.0438275
1.65786,0.124634,0.0494595,0.0421215
1.71469,0.0986989,0.0469282,0.0416764
1.6888,-0.0238337,0.0475322,0.0662749
1.66233,0.116485,0.0464849,0.0388173
1.75747,0.141581,0.0478804,0.0406559
1.67311,0.0455913,0.0483662,0.0629395
1.7264,0.0467172,0.0485622,0.053115
1.67073,0.0978746,0.0453159,0.0324299
1.71364,0.0537861,0.0463838,0.0489355
1.70058,0.0166421,0.0457151,0.0487896
1.74101,0.0810832,0.0463979,0.039993
1.79484,0.0830982,0.0490733,0.0556819
1.72413,-0.00517172,0.0457303,0.0564941
1.70104,0.0169638,0.045227,0.0470292
1.81048,0.163174,0.0471956,0.0339471
1.73952,0.0693368,0.0468273,0.0651677
1.75394,0.104334,0.0468956,0.0352971
1.73159,0.145603,0.0483598,0.0401352
1.78406,0.00927312,0.0486433,0.0712936
1.75154,0.0160874,0.0459632,0.0598738
1.70137,0.0414892,0.0509831,0.0555251
1.73718,0.0655642,0.0477711,0.0518773
1.70811,0.105319,0.0502908,0.0422129
1.75125,0.0445129,0.0512287,0.0516445
1.71968,0.124148,0.0460256,0.0420752
1.72104,0.119896,0.0492694,0.037027
1.75516,0.0867674,0.0488065,0.0514274
1.80303,0.0490455,0.0466928,0.0583621
1.78439,-0.00352075,0.0468153,0.0612807
1.8077,0.0509197,0.0468181,0.0494772
1.72846,0.144916,0.0536128,0.0398359
1.79115,0.0966972,0.0449755,0.0440203
1.77511,0.00626021,0.0477301,0.0668765
1.82962,0.0664571,0.0476112,0.0427457
1.7447,0.0624103,0.0492944,0.0455174
1.75814,0.0976678,0.0485485,0.044074
1.80693,0.0540912,0.0467052,0.0595518
1.83633,0.0354324,0.0490342,0.0657024
1.81874,0.165613,0.0489931,0.037914
1.8657,0.12381,0.0461744,0.0502953
1.77942,0.117298,0.0481586,0.045823
1.85487,0.0868127,0.0455936,0.0535992
1.77674,0.150134,0.0458508,0.0465507
1.79979,0.0859551,0.0493642,0.0543198
1.86921,-0.0206323,0.04677,0.0652226
1.88969,-0.00635709,0.0463987,0.071754
1.8152,0.0904194,0.0495505,0.0498758
1.80827,0.11475,0.0511274,0.0408753
1.8377,0.0767365,0.0475814,0.0438214
1.86197,0.122749,0.0477249,0.0476838
1.82583,0.0791966,0.0474157,0.0547374
1.83649,0.0516877,0.0468365,0.0582703
1.84074,0.0722623,0.0480251,0.062176
1.84421,0.146649,0.0474101,0.0391157
1.87659,0.00175118,0.0471414,0.0736015
1.87978,0.127673,0.0480954,0.0404189
1.84249,0.0103792,0.0470709,0.0527976
1.86002,0.140952,0.0490792,0.0435918
1.82799,0.18115,0.0452213,0.0480462
1.84662,0.120994,0.0476414,0.0510953
1.92387,0.211012,0.0496645,0.0449875
1.94733,0.155756,0.047593,0.0467797
1.89674,0.0974332,0.0472266,0.0481342
1.91748,0.171584,0.0487023,0.0379091
1.88514,0.195996,0.0486972,0.0388424
1.91038,0.193329,0.0473783,0.0374888
1.82793,0.0541451,0.0461678,0.0571051
1.9172,0.0443701,0.0484986,0.0590421
1.88275,-0.00516762,0.0468697,0.0666445
1.91758,0.0972774,0.0476107,0.0477536
1.87511,0.0471811,0.0478284,0.0602516
1.86191,0.112636,0.046918,0.047303
1.93837,0.0518339,0.047565,0.0615288
1.93165,0.134157,0.0517138,0.0396493
1.86588,0.155077,0.0521188,0.0396751
1.92544,0.106887,0.0482728,0.0453799
1.91738,0.0440034,0.0488929,0.064179
1.89131,0.160306,0.0514528,0.0438731
1.91914,0.0740612,0.0473648,0.0562322
1.91631,0.223138,0.0467114,0.0393172
1.96206,0.164479,0.0489137,0.0528969
2.00657,0.0842849,0.0477042,0.0670903
1.94963,0.0981335,0.0476067,0.0521679
1.92029,0.16244,0.0483111,0.0485414
1.92198,0.135651,0.0487917,0.046278
1.97001,0.158851,0.0472488,0.0487801
1.90412,0.119983,0.0476013,0.0495827
1.99436,0.0866378,0.0466747,0.046426
1.95055,0.103092,0.0498075,0.0548892
1.94755,0.198013,0.0484251,0.0531304
1.98356,0.173022,0.0473315,0.0440615
2.01321,0.17991,0.0473381,0.0470542
2.0373,0.128347,0.0496381,0.0510508
1.97994,0.128194,0.0475123,0.0578273
1.95304,0.12846,0.050756,0.0578173
1.97618,0.113785,0.0469799,0.0654714
2.03552,0.230512,0.0491644,0.0469534
1.97936,0.154429,0.0468803,0.048412
1.91576,0.144492,0.0469484,0.0578205
1.98023,0.193133,0.0488895,0.0515182
2.01567,0.117829,0.0485166,0.0561372
1.89818,0.196808,0.0483732,0.050418
1.96587,0.225459,0.0454056,0.0430181
2.03765,0.189414,0.0480546,0.0389895
1.99847,0.190251,0.0479946,0.0368135
1.9931,0.247128,0.0519993,0.0368989
2.04111,0.128044,0.0480296,0.055837
2.04105,0.116325,0.0480244,0.0543097
2.0058,0.032058,0.0485425,0.0746414
2.00594,0.125631,0.0463667,0.0590347
2.02316,0.0883009,0.0485966,0.0570248
1.98418,0.188126,0.0484102,0.0363725
2.04305,0.139721,0.0479458,0.0560832
2.03343,0.21475,0.0493511,0.0361252
