REINFORCE,BBO,TRS Error Bar,BBO Error Bar
1.85532,0.0188267,0.0489601,0.0497426
1.8269,0.0184637,0.0499907,0.0422563
1.83011,0.0480632,0.0471099,0.0530478
1.79725,0.0109924,0.0475988,0.0458508
1.80001,-0.00207412,0.0490902,0.0514797
1.8472,0.0900187,0.0481997,0.0382124
1.87409,0.0542359,0.0487996,0.0356535
1.89493,0.0416376,0.0471668,0.0420974
1.88891,0.0644842,0.0510976,0.0423103
1.91073,0.100382,0.050107,0.0384604
1.87302,-0.014671,0.0494244,0.058037
1.88478,0.0275368,0.0485713,0.0410689
1.95382,0.0300723,0.0478201,0.0554315
1.84796,-0.0164866,0.0490069,0.0551826
1.90737,-0.00641093,0.0483487,0.0487631
1.93657,-0.0125632,0.0479418,0.0465797
1.90761,0.019616,0.0480803,0.0434517
1.94217,0.00786491,0.0492611,0.0578472
1.95024,0.0941074,0.049485,0.0339006
1.91313,0.0477585,0.049439,0.0449234
1.89165,0.0578175,0.048343,0.048187
1.94421,-0.0103252,0.0484365,0.0592258
1.9316,0.0353826,0.050807,0.0446391
1.92998,0.0673787,0.0513732,0.0534407
1.98756,-0.0133219,0.0501982,0.0540263
1.94799,-0.032466,0.0487277,0.0668397
1.9731,0.0139307,0.049496,0.0448207
1.99156,0.0471697,0.0486561,0.0493558
1.91963,0.00933975,0.0492309,0.0483238
2.01881,0.051623,0.0487648,0.0363821
2.02816,0.100929,0.052745,0.0446955
1.9942,0.0939652,0.049002,0.0403988
2.0335,0.0553833,0.0514357,0.0448945
2.00805,0.0963142,0.0496288,0.0413479
1.96127,0.0633671,0.0499163,0.0383093
2.00748,0.082844,0.0492663,0.0376583
2.01447,0.0286452,0.0488091,0.0450643
1.98613,0.0565024,0.0485286,0.0413773
2.07423,0.0517647,0.0489435,0.0579585
1.9679,0.0105633,0.04949,0.0515038
2.0043,-0.0450138,0.0520534,0.0627216
2.04068,0.0918638,0.0489785,0.045173
2.02866,-0.0364359,0.0496741,0.0540763
2.01222,0.0836432,0.0521597,0.0516435
2.05911,0.0350471,0.0476614,0.0546147
2.0851,0.0552872,0.0495446,0.0430484
2.03676,-0.0564274,0.0488561,0.0605558
2.03209,0.0150216,0.0531294,0.064427
2.09826,-0.0707437,0.0523615,0.0639129
2.14601,0.000305643,0.0480657,0.0572408
2.11107,-0.0440644,0.0520065,0.0631553
2.08666,0.0643634,0.0498909,0.0573981
2.09916,0.114944,0.049425,0.0362089
2.11307,0.0882603,0.0522566,0.0419596
2.09268,0.057583,0.0492591,0.0407668
2.13546,0.0742222,0.0506516,0.0472258
2.11861,0.0108093,0.0497362,0.0612506
2.16812,0.0135827,0.0504702,0.0570631
2.09579,0.0149993,0.0496721,0.0612939
2.15818,0.113404,0.0507501,0.0373651
2.16322,0.0963868,0.0489246,0.0409334
2.14697,0.00443467,0.0487829,0.0636096
2.08665,0.0115073,0.0474814,0.0518258
2.16829,0.0523291,0.0531703,0.0434978
2.13328,0.0436803,0.0505645,0.0480059
2.10049,0.0634539,0.0503763,0.0476831
2.19743,0.103885,0.0495972,0.0366268
2.22515,0.0541869,0.0503651,0.0438544
2.18792,0.0530055,0.0507993,0.0536853
2.15271,-0.00611984,0.0537121,0.0603442
2.16727,0.0874562,0.0540697,0.0472534
2.20258,0.0921211,0.0494065,0.0411769
2.15713,0.000290516,0.0532543,0.0644987
2.2536,0.174521,0.0486012,0.0379702
2.19669,0.129257,0.0499192,0.0481597
2.16218,0.123733,0.0498657,0.0385683
2.23198,0.0452135,0.0496387,0.0495866
2.25778,0.0831967,0.0513829,0.0443045
2.21688,0.127192,0.0493345,0.0458778
2.22993,0.0852564,0.0489656,0.0571714
2.23845,0.0668334,0.0504817,0.0625704
2.22638,0.113401,0.049341,0.045988
2.21285,0.0359633,0.0515777,0.0683629
2.25288,0.0606557,0.0494712,0.0578005
2.2385,0.122532,0.0504255,0.0543135
2.18589,0.0646625,0.0537897,0.0508925
2.18803,0.0111172,0.0523731,0.0587181
2.20021,0.159304,0.0486373,0.0364509
2.22899,0.0578334,0.0486191,0.0587316
2.27561,0.00687145,0.0530776,0.0619677
2.24048,0.101288,0.0501916,0.0402328
2.27578,0.0113991,0.0500676,0.06923
2.28354,0.132911,0.0506429,0.0387159
2.24538,0.0585102,0.0534854,0.053153
2.25602,0.146705,0.0510096,0.0484692
2.29054,0.0774502,0.0498946,0.0502092
2.29163,0.140658,0.0492881,0.0414656
2.30525,0.145534,0.0509648,0.0464335
2.28834,0.141757,0.0516543,0.0320472
2.25655,0.0601536,0.0504957,0.0536946
2.37542,0.0729723,0.0495396,0.0630652
2.27442,0.2044,0.0514416,0.0385986
2.24446,0.00577657,0.0500539,0.0811322
2.27435,0.14628,0.0491748,0.0464871
2.29977,0.115359,0.0511933,0.0537321
2.30788,0.0997352,0.0489732,0.0400657
2.28528,0.0594969,0.0495154,0.06171
2.2548,0.117758,0.0562168,0.0429931
2.27135,0.054467,0.0494406,0.0620324
2.34663,0.0933917,0.051278,0.0473335
2.32767,0.061033,0.0496132,0.0626954
2.31709,0.150141,0.0500391,0.0477407
2.33714,0.0592728,0.0503561,0.055137
2.38234,0.171524,0.0490847,0.0468198
2.30412,0.0662859,0.0517963,0.0647841
2.35679,0.10208,0.0488853,0.0460898
2.3939,0.0874637,0.0504468,0.0507063
2.3898,0.145276,0.0495337,0.063857
2.39813,0.0967394,0.0515978,0.0465032
2.34692,0.163504,0.0491956,0.0491364
2.40363,0.138498,0.0514921,0.0414457
2.40216,0.0191879,0.0491505,0.0608809
2.38087,0.0963977,0.049638,0.0538906
2.39291,0.130026,0.0488729,0.0380079
2.36925,0.0999053,0.0494164,0.0567008
2.41488,0.125709,0.0494959,0.0508553
2.39088,0.157233,0.051156,0.0443618
2.43221,0.0236087,0.0495349,0.057678
2.39187,0.039104,0.0512863,0.055863
2.40458,0.153193,0.0506902,0.0530303
2.37211,-0.0052668,0.0492091,0.0645458
2.44173,0.0435582,0.0488598,0.0624077
2.43488,0.109178,0.0505799,0.0515324
2.38198,0.145579,0.0521804,0.0558334
2.44571,0.155428,0.0499938,0.0441221
2.43945,0.122364,0.050837,0.0482069
2.39386,0.0843468,0.0506298,0.0613687
2.4387,0.101048,0.0496665,0.0611766
2.45536,0.116495,0.0503859,0.0457268
2.44003,0.0705657,0.0503561,0.05189
2.42689,0.195061,0.0488109,0.0454848
2.4558,0.11603,0.0505081,0.052138
2.44066,0.145351,0.0500148,0.0488236
2.52556,0.0946182,0.0501913,0.0549542
2.41108,0.166945,0.050242,0.0434917
2.48464,0.187818,0.0506311,0.0413649
2.51134,0.146524,0.0501462,0.0433002
2.47471,0.0833392,0.050419,0.06656
2.44325,0.191956,0.05087,0.0435315
2.44336,0.0943644,0.0489229,0.0432294
2.44607,0.147643,0.0496084,0.0502564
2.49016,0.121103,0.0500513,0.0538019
2.53336,0.103074,0.0494594,0.0628148
2.42291,0.169474,0.0505023,0.0442821
2.4626,0.104016,0.0494651,0.0603505
2.4027,0.156215,0.0503345,0.0490837
2.54278,0.17931,0.0497158,0.0564691
2.52958,0.242304,0.0481986,0.0425695
2.49364,0.141464,0.0501707,0.0566032
2.49577,0.166848,0.0534602,0.044768
2.47569,0.157967,0.0499231,0.0481873
2.46589,0.107546,0.0503345,0.0688697
2.49044,0.274214,0.0509112,0.0493682
2.4722,0.186484,0.0505245,0.0413983
2.50981,0.120516,0.051396,0.0768466
2.56338,0.179983,0.0507063,0.0475958
2.57904,0.220698,0.0493899,0.0476302
2.40855,0.18428,0.0493559,0.0440841
2.489,0.245084,0.0500961,0.037003
2.47689,0.274165,0.0516036,0.0388802
2.4812,0.0611585,0.0517457,0.074306
2.48597,0.0866719,0.0505251,0.0579107
2.4844,0.211274,0.050821,0.0370541
2.53286,0.159576,0.050464,0.0518956
2.52025,0.169492,0.0541598,0.0546127
2.53938,0.0968843,0.0491481,0.0667369
2.5382,0.158014,0.0531413,0.0406155
2.62891,0.178953,0.0496326,0.0509794
2.59483,0.114607,0.0498691,0.0544476
2.5204,0.146405,0.0506402,0.0526268
2.53988,0.187204,0.049284,0.0518233
2.54395,0.172507,0.0498844,0.0550864
2.52618,0.232547,0.0517958,0.044012
2.60908,0.165176,0.0515061,0.0511708
2.54846,0.23385,0.0496358,0.0448215
2.54841,0.109074,0.0497694,0.061055
2.53065,0.0983961,0.0492303,0.0664034
2.57582,0.174676,0.0501608,0.0483329
2.53494,0.167481,0.0503109,0.0503348
2.54567,0.0939404,0.0496235,0.0712159
2.55616,0.141631,0.052032,0.0611012
2.53426,0.180762,0.0493156,0.050157
2.58712,0.198889,0.0508594,0.0568019
2.50577,0.230962,0.0529212,0.0444352
2.54067,0.14042,0.0490241,0.0556931
2.56042,0.150138,0.0527548,0.0513636
2.53708,0.176044,0.0494073,0.0525667
2.59438,0.206324,0.0522426,0.0477483
2.56644,0.0796507,0.050779,0.0665632
2.57751,0.260875,0.0521253,0.0407818
2.54604,0.249893,0.0497401,0.0483778
